data_type,value,date,week_number_year,month_year
se_all,40,01-01-2019,00 2019,January 2019
se_all,68,02-01-2019,00 2019,January 2019
se_all,117,03-01-2019,00 2019,January 2019
se_all,105,04-01-2019,00 2019,January 2019
se_all,70,05-01-2019,00 2019,January 2019
se_all,77,06-01-2019,00 2019,January 2019
se_all,61,07-01-2019,01 2019,January 2019
se_all,77,08-01-2019,01 2019,January 2019
se_all,96,09-01-2019,01 2019,January 2019
se_all,96,10-01-2019,01 2019,January 2019
se_all,89,11-01-2019,01 2019,January 2019
se_all,70,12-01-2019,01 2019,January 2019
se_all,66,13-01-2019,01 2019,January 2019
se_all,94,14-01-2019,02 2019,January 2019
se_all,110,15-01-2019,02 2019,January 2019
se_all,100,16-01-2019,02 2019,January 2019
se_all,84,17-01-2019,02 2019,January 2019
se_all,79,18-01-2019,02 2019,January 2019
se_all,62,19-01-2019,02 2019,January 2019
se_all,63,20-01-2019,02 2019,January 2019
se_all,52,21-01-2019,03 2019,January 2019
se_all,115,22-01-2019,03 2019,January 2019
se_all,94,23-01-2019,03 2019,January 2019
se_all,101,24-01-2019,03 2019,January 2019
se_all,85,25-01-2019,03 2019,January 2019
se_all,68,26-01-2019,03 2019,January 2019
se_all,89,27-01-2019,03 2019,January 2019
se_all,113,28-01-2019,04 2019,January 2019
se_all,100,29-01-2019,04 2019,January 2019
se_all,105,30-01-2019,04 2019,January 2019
se_all,98,31-01-2019,04 2019,January 2019
se_all,90,01-02-2019,04 2019,February 2019
se_all,74,02-02-2019,04 2019,February 2019
se_all,62,03-02-2019,04 2019,February 2019
se_all,91,04-02-2019,05 2019,February 2019
se_all,91,05-02-2019,05 2019,February 2019
se_all,73,06-02-2019,05 2019,February 2019
se_all,73,07-02-2019,05 2019,February 2019
se_all,105,08-02-2019,05 2019,February 2019
se_all,78,09-02-2019,05 2019,February 2019
se_all,104,10-02-2019,05 2019,February 2019
se_all,104,11-02-2019,06 2019,February 2019
se_all,97,12-02-2019,06 2019,February 2019
se_all,55,13-02-2019,06 2019,February 2019
se_all,80,14-02-2019,06 2019,February 2019
se_all,64,15-02-2019,06 2019,February 2019
se_all,63,16-02-2019,06 2019,February 2019
se_all,80,17-02-2019,06 2019,February 2019
se_all,114,18-02-2019,07 2019,February 2019
se_all,89,19-02-2019,07 2019,February 2019
se_all,123,20-02-2019,07 2019,February 2019
se_all,144,21-02-2019,07 2019,February 2019
se_all,66,22-02-2019,07 2019,February 2019
se_all,22,23-02-2019,07 2019,February 2019
se_all,42,24-02-2019,07 2019,February 2019
se_all,52,25-02-2019,08 2019,February 2019
se_all,69,26-02-2019,08 2019,February 2019
se_all,68,27-02-2019,08 2019,February 2019
se_all,89,28-02-2019,08 2019,February 2019
se_all,52,01-03-2019,08 2019,March 2019
se_all,72,02-03-2019,08 2019,March 2019
se_all,62,03-03-2019,08 2019,March 2019
se_all,100,04-03-2019,09 2019,March 2019
se_all,82,05-03-2019,09 2019,March 2019
se_all,89,06-03-2019,09 2019,March 2019
se_all,71,07-03-2019,09 2019,March 2019
se_all,57,08-03-2019,09 2019,March 2019
se_all,74,09-03-2019,09 2019,March 2019
se_all,78,10-03-2019,09 2019,March 2019
se_all,57,11-03-2019,10 2019,March 2019
se_all,82,12-03-2019,10 2019,March 2019
se_all,110,13-03-2019,10 2019,March 2019
se_all,68,14-03-2019,10 2019,March 2019
se_all,64,15-03-2019,10 2019,March 2019
se_all,60,16-03-2019,10 2019,March 2019
se_all,87,17-03-2019,10 2019,March 2019
se_all,104,18-03-2019,11 2019,March 2019
se_all,84,19-03-2019,11 2019,March 2019
se_all,99,20-03-2019,11 2019,March 2019
se_all,110,21-03-2019,11 2019,March 2019
se_all,77,22-03-2019,11 2019,March 2019
se_all,93,23-03-2019,11 2019,March 2019
se_all,117,24-03-2019,11 2019,March 2019
se_all,120,25-03-2019,12 2019,March 2019
se_all,137,26-03-2019,12 2019,March 2019
se_all,125,27-03-2019,12 2019,March 2019
